project,classes_parsed,nclones_total,nclones_avg_all,log_path
mockito-java,86,273,3.174,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/mockito-java/step2_nicad_mockito-java_sim0.7_classes_fqn.log
netty-java,937,3009,3.211,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/netty-java/step2_nicad_netty-java_sim0.7_classes_fqn.log
openjpa-java,827,3386,4.094,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/openjpa-java/step2_nicad_openjpa-java_sim0.7_classes_fqn.log
pdfbox-java,225,595,2.644,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/pdfbox-java/step2_nicad_pdfbox-java_sim0.7_classes_fqn.log
pig-java,646,2665,4.125,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/pig-java/step2_nicad_pig-java_sim0.7_classes_fqn.log
poi-java,827,2578,3.117,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/poi-java/step2_nicad_poi-java_sim0.7_classes_fqn.log
presto-java,1477,6150,4.164,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/presto-java/step2_nicad_presto-java_sim0.7_classes_fqn.log
RxJava-java,1498,7445,4.970,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/RxJava-java/step2_nicad_RxJava-java_sim0.7_classes_fqn.log
storm-java,386,3179,8.236,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/storm-java/step2_nicad_storm-java_sim0.7_classes_fqn.log
synapse-java,241,677,2.809,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/synapse-java/step2_nicad_synapse-java_sim0.7_classes_fqn.log
tika-java,303,856,2.825,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/tika-java/step2_nicad_tika-java_sim0.7_classes_fqn.log
tomcat-java,522,1753,3.358,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/tomcat-java/step2_nicad_tomcat-java_sim0.7_classes_fqn.log
wicket-java,329,949,2.884,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/wicket-java/step2_nicad_wicket-java_sim0.7_classes_fqn.log
xerces-j-java,309,1096,3.547,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/xerces-j-java/step2_nicad_xerces-j-java_sim0.7_classes_fqn.log
zookeeper-java,235,678,2.885,/home/user1-system11/research_dream/clone_research/postprocess-clone-results/java/Nicad/output/zookeeper-java/step2_nicad_zookeeper-java_sim0.7_classes_fqn.log
